Index,Act,ActName,Chapter,ChapterName,Position,POV,Setting,Scenes,Completion,Action,Drama,Theme,Heart,Sensuality,Magnitude,DenotativeEnergy,ConnotativeEnergy,TotalEnergy,PremiseForce,PremiseLoad,Gravity,Prominence,Novelty,PayoffLink,ConversionStrength,CompressionOpportunity,StructuralIndispensability,CutRisk,Summary,Blurb,Excerpt
1,1,Act One: Spring,1,Strangers To Enemies 1,571.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-24,4,92,3.0,6.1,7.0,5.8,2.4,-0.3,5.366666666666667,5.29,5.506338,-2.1,2.1,23.587341840562733,0.4808900000000005,5.373571273490664,2.830552233050826,2.830552233050826,68.76174690857904,19.31596486566945,68.76174690857904,"Cody celebrates his first home, drunkenly stumbles through the adjoining door into another world, is healed by strangers, and fixates on the &quot;cosplayer&quot; girl on the other side.",A housewarming goes sideways when Cody opens the wrong door&mdash;and stumbles into a world that shouldn&apos;t exist.,"In the long, dragging years after college, all I could ever ask is to waste my life as efficiently as possible."
2,1,Act One: Spring,2,The Knight Before,1719.25,Katiya,Valenseia | Gaffesend | Gaffe&apos;s End Tavern | 2026-04-23,3,95,1.4,6.3,5.7,6.4,4.8,-0.2,4.466666666666666,6.16,5.309088,-1.1400000000000001,1.1400000000000001,17.340692649062618,0.5824846666666668,6.048286004697294,1.0496945153144577,1.0496945153144577,73.00187714984054,13.262770621485945,73.00187714984054,"Katiya&apos;s intro: she struggles to relax, Aldrin frames trainee expectations, and she reconnects with Jullian as they &quot;christen&quot; her new place.","Katiya tries to unwind, but duty&mdash;and an old flame&mdash;won&apos;t let her rest.","With every intention to relax, I try to let the peace of this place flood my tense muscles. But I wasn't made for this, and I hate drinking. The only thought on my inebriated mind…"
3,1,Act One: Spring,3,The Day After,3079.25,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-04-24,3,95,1.2,6.2,5.9,5.6,0.8,-0.4,4.433333333333334,4.88,4.741808,-2.3600000000000003,2.3600000000000003,11.437461800539324,-0.40410449999999987,6.5573128571533,0.0,0.0,78.09182575827856,13.439822610792277,78.09182575827856,"Cody&apos;s bleak office day: roasted for late redlines, awkward beat with Kei, then family unpacking with Miguel queued up for drinks.",Another soul-numbing office day pushes Cody toward a choice he&apos;s not ready to make.,I realize I'm done working on the redline when my hands stop moving. Copying changes from a red-inked engineering drawing to the computer is easy enough to get lost in thought. The…
4,1,Act One: Spring,4,Secondhand Cottage,4323.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-24,3,95,1.8,5.2,5.6,3.8,0.6,-0.2,4.2,3.32,3.9316639999999996,-1.1199999999999999,1.1199999999999999,5.973370095252044,-1.6963340000000002,20.516190553830214,0.6511024729658598,0.6511024729658598,86.6342808842677,4.684727217303338,86.6342808842677,"Katiya&apos;s trauma baseline: nightmares of Hillfar; she self-stabilizes, starts her day, meets Derry & Carmen (Rayna foreshadow), and heads to base with Bertram.","Nightmares, neighbors, and a base run: Katiya fights panic with routine until routine fights back.","The next lucid moment, I find myself pinned upside-down beneath a thick wooden rack. The heat climbs as I drag my heels across the floor, my clothes so black and charred that I pra…"
5,1,Act One: Spring,5,Firsthand Home,5812.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-24,2,95,1.6,7.4,6.6,7.2,1.2,-0.45,5.2,6.3,5.83656,-2.9699999999999998,2.9699999999999998,27.528405806311085,0.8577620000000001,14.060889488786351,3.1183170878398307,3.1183170878398307,60.04357532658825,24.681459510593296,60.04357532658825,"Cody + Miguel bro out, drink hard; Miguel crashes, Cody stays up.",Drinks with a best friend turn into confessions&mdash;and an idea Cody should ignore.,"""Since you started on your first day, you haven't been drug tested. What's gonna change their mind on Monday, bro? My work never runs drug tests,"" he says. Gunfire cracks over the…"
6,1,Act One: Spring,6,Insurgency,6815.25,Katiya,Valenseia | Gaffesend | Southern Fields | 2026-04-24,3,90,5.8,7.6,7.8,6.2,0.8,-0.34,7.066666666666666,5.39,6.624536000000001,-2.652,2.652,37.19593997007345,1.7569560000000006,21.847201144209553,6.618142216640338,6.618142216640338,50.70298681995349,30.119899033212118,50.70298681995349,Katiya&apos;s first day ends in panic when a distant light (Firebrand tie-in) appears; town responds; on returning home she finds an intruder&mdash;Cody&mdash;and ambushes him.,A distant light rattles Gaffesend; Katiya&apos;s first day ends with an intruder at home.,"""So we're already finished. Is that as bad as it gets? Or is this just because it's the first day?"" Pax asks. ""Maybe Aldrin wasn't lying. I thought we'd be at the enemy's doorstep…"
7,1,Act One: Spring,7,Exfiltration,8635.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-25,2,92,4.2,7.1,8.1,1.8,1.0,-0.22,6.466666666666666,1.68,4.617184,-1.782,1.782,21.998034280684404,-0.6879290000000005,10.665418987763648,7.767084770202044,7.767084770202044,78.75358309779863,15.531650186323914,78.75358309779863,"Prologue re-seen through Katiya: she crosses into the modern world and recoils, landing back through the door&mdash;mirror of Cody&apos;s intro.","Through Katiya&apos;s eyes: a door, a modern nightmare, and a blur she can&apos;t unsee. and violence.","If he wasn't handsome, I would have slit his throat. My mind can't catch up fast enough for all the semantics, but I know exactly what he means."
8,1,Act One: Spring,8,Strangers To Enemies 2,9932.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-25,2,92,7.6,7.2,6.9,1.8,1.0,-0.32,7.233333333333334,1.68,5.084911999999999,-2.208,2.208,25.47822589600568,-0.4399210000000018,3.1563353029477423,9.934525708075803,9.934525708075803,74.65629184349677,20.419054229613323,74.65629184349677,Third clash: Katiya (assuming Auvryan assassin) and Cody fight to another misunderstanding; she drives him back through the door.,Misread motives turn their encounter into a full-on clash.,"I wager my strength and power over his defenses. The inebriated man called Cody holds the odd, metallic broomstick with his hands together in the center — a technique I've never se…"
9,1,Act One: Spring,9,Surprise Approach,11094.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-26,2,90,1.0,6.1,6.3,2.6,0.8,-0.26,4.466666666666666,2.33,3.6744440000000003,-1.638,1.638,12.633934355703037,-1.580671999999999,31.63985909407332,13.127625114695102,13.127625114695102,81.65584627437062,10.556757958742292,81.65584627437062,Cody tries to rationalize it away (no wound); barricades the door; nearly late to work; meets foil Reed.,Cody barricades more than a door as reality refuses to make sense.,"Late Sunday morning, around 11:00, I awoke with my neck twisted against the closet door, my face saturated with drool, shirt missing, and a sticky note taped to my forehead with Mi…"
10,1,Act One: Spring,10,Strategic Retreat,12289.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-25,3,92,8.8,8.4,8.6,5.2,0.4,-0.57,8.600000000000001,4.4799999999999995,7.183168000000001,-4.901999999999999,4.901999999999999,46.828826135451884,2.601681000000001,40.42156601471542,18.065093889562522,18.065093889562522,34.479998270956344,45.815710782826415,34.479998270956344,"Katiya cleans to stave off panic, studies Cody&apos;s device; time skip: a month later she hesitates during a royal escort, barely averts disaster, is berated, and runs to find Bertram.","A month later, a public moment goes wrong&mdash;and Katiya can&apos;t shake the blame.",I take deep breaths as I try not to let him break me. Cody's gone now. And I will never have to deal with him again.
11,1,Act One: Spring,11,Ennui and Excoriation,12860.5,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-05-22,3,75,0.8,6.9,7.3,3.0,0.6,-0.52,5.0,2.6399999999999997,4.135199999999999,-3.796,3.796,23.12619574382196,-1.5092060000000007,23.02369130938712,21.653678324250265,21.653678324250265,71.05489638128722,24.824512282857757,71.05489638128722,"Another month later: Cody is bored while Reed earns praise; Nav spins up a new project; Cody ghosts social invites, but hears pleading through the door at home.","Praise falls on the wrong desk. At home, Cody hears a voice on the other side.","I can only work as fast as the computer will take me, choosing to try and save the file every chance I get. I've spent so many hours imagining how I would boost the performance if…"
12,1,Act One: Spring,12,Anxiety and Avoidance,13800.5,Katiya,Valenseia | Gaffesend | Guards&apos; Quarter | 2026-05-22,2,80,1.8,8.8,8.6,4.2,0.4,-0.56,6.400000000000001,3.63,5.431392,-4.816,4.816,39.279550256680466,-0.46629000000000076,21.34258155228334,26.72388350304577,26.72388350304577,52.79946903182581,38.94682037809355,52.79946903182581,"FOUR WEEK TIME SKIPKatiya, Ryder, and Paxton rescue near-dead Bertram; she&apos;s blamed and shut out&mdash;her only remaining lifeline is Cody.","With help scarce, Katiya runs toward the only lifeline left.","Calling his name will do nothing. I decide ahead of time to break in instead of patiently knocking, hoping the others piece together my purpose for panic instead of thinking I'm ju…"
13,2,Act Two: Summer,13,The Sleeping Knight,15137.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-05-23,2,70,1.2,7.2,7.7,8.0,2.0,-0.08,5.366666666666667,7.1,6.28862,-0.616,0.616,48.259460203765144,0.7836469999999993,25.888439410370307,30.72692810874061,30.72692810874061,43.502934567763575,31.281070307685212,43.502934567763575,Katiya crosses mid-panic; Cody calms her and lets her sleep; awkward breakfast; they agree to &quot;no interfering&quot; (both intend to break it).,A midnight crossing. A stranger&apos;s kindness. Rules they&apos;ll both pretend to follow.,"Words are a currency she can't afford when her panic sets her over the edge. She speaks in strings of syllables I can't comprehend, but it's not her desperate cries that confuse me…"
14,2,Act Two: Summer,14,Luddite By Chance,16333.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-05-23,3,70,2.2,7.4,7.1,7.0,1.0,-0.22,5.566666666666667,6.1000000000000005,5.98374,-1.5619999999999998,1.5619999999999998,43.30029917779229,0.308063999999999,7.151873315808671,33.91466016741321,33.91466016741321,50.23083468259527,33.11627117592023,50.23083468259527,"Cody gives her a gentle orientation day: first car ride (terrifying), Costco errand gauntlet&mdash;Katiya is overwhelmed by the future.",&quot;Welcome to the future.&quot; A car ride and a big-box errand become an emotional obstacle course.,I never knew it was possible to misunderstand a taco. It seems pretty obvious that it's tall and narrow. That you have to rotate the thing sideways to put it in your mouth to take…
15,2,Act Two: Summer,15,Technophile By Choice,17580.5,"Cody, Katiya",Valenseia | Gaffesend | Katiya&apos;s House | 2026-05-24,3,70,1.8,7.1,7.6,8.4,1.2,-0.35,5.5,7.319999999999999,6.46956,-2.6599999999999997,2.6599999999999997,49.06923889876792,0.7838630000000011,27.563304451837467,35.68288520188748,35.68288520188748,36.58049722232452,40.778899503330955,36.58049722232452,Cody runs Katiya&apos;s route in Gaffesend; she tours him as &quot;royal inventor&quot;; awkward Jullian moment; tavern hang where Cody fits in.,Cody tours Katiya&apos;s world&mdash;and fits in a little too well.,"""Have you tried an Eglich?"" She asks."
16,2,Act Two: Summer,16,Back To Business,18151.75,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-05-25,3,70,0.8,5.8,6.3,5.2,0.8,-0.1,4.3,4.54,4.513132000000001,-0.63,0.63,32.07425826126321,-1.9704199999999998,32.45285250976763,36.74229991295808,36.74229991295808,61.61810383311561,21.987305832553716,61.61810383311561,Cody&apos;s spark flickers: nostalgia and lunch with Alan (Jackson talk); he returns hoping for an open door.,A lunch with Dad. A memory of a brother. A door that might be open tonight.,"""I think that will work just fine,"" Reed says. ""What do you think?"""
17,2,Act Two: Summer,17,Onward To Chaos,18723.0,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-05-26,4,70,1.4,7.2,7.0,7.6,0.8,0.02,5.2,6.58,5.957296,0.14,0.14,47.31569249160591,-0.2431719999999995,13.538725507281612,37.67620691890347,37.67620691890347,48.25905723961858,30.093159837018092,48.25905723961858,Katiya visits Bertram in the hospital (promises Hillfar); market duty goes sideways; she chases and collars Rayna (Ahkvasan half-blood); Jullian downplays her leap; Cody leaves a treat.,Katiya chases a thief and a ghost from her past&mdash;while promises tug her toward tomorrow.,"I refuse to let in a chance for anything to happen, and that's why I rise early. Earlier than the knocker that comes to wake me. Earlier than the sun: early enough that the morning…"
18,2,Act Two: Summer,18,Civillian Combat,20756.0,Cody,Valenseia | Gaffesend | Gaffe Royal Base | 2026-06-27,2,70,6.8,7.0,7.9,8.2,1.4,0.15,7.233333333333334,7.179999999999999,7.523612,1.185,1.185,63.044733299513524,2.0305384999999996,36.73009445647703,38.141179402753316,38.141179402753316,24.924805591315938,43.98926284674749,24.924805591315938,"Cody&apos;s volunteer training day: Katiya teases, his mistake catches Aldrin&apos;s eye; later he chooses friendship over victory in a challenge&mdash;character beat.",A training mishap puts Cody on someone important&apos;s radar for all the wrong reasons.,"It came scrawled in messy letters that weren't from my world, written on a piece of vellum fresh with ink. It was only four words that would send a chill down any man's spine: espe…"
19,2,Act Two: Summer,19,Warrior Business,22868.0,Katiya,Colorado | Evergreen Estates | Cody&apos;s House | 2026-06-28,3,70,1.4,8.0,8.4,7.0,2.2,-0.12,5.933333333333334,6.28,6.295568,-1.008,1.008,51.32980296868788,0.5143295000000006,13.385224598741258,36.29575447661962,36.29575447661962,44.59035127857783,35.00174952769034,44.59035127857783,"Open house at Cody&apos;s work: meet Reed & Kei; Cody geeks out, Katiya meets Alan & Kim; they overhear Reed/Kei on Cody missing from the &quot;Future Talent&quot; wall.","Open house at work: new faces, old history, and a wall Cody isn&apos;t on.",And so I sell him a lie.
20,2,Act Two: Summer,20,Domestic Relations,23867.0,"Cody, Katiya",Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-06-28,4,70,0.8,8.2,7.9,4.6,2.0,-0.3,5.633333333333333,4.21,5.206297999999999,-2.37,2.37,39.495531681773386,-0.6857870000000004,9.663973220588492,32.90087111781047,32.90087111781047,58.6304976059855,31.433800251963,58.6304976059855,Katiya engineers a Cody&mdash;Kei date; in parallel she and Jullian go to hot springs and bristle; Cody&apos;s date feels off and foggy&mdash;he insists he&apos;s &quot;fine.&quot;,"Double dates, mixed signals, and the uneasy question: are we still who we were?","She waits until I'm fully seated in the car to tell me the news. And when she does, I feel both relieved and horrified at the same time — like the wife that tells her husband he's…"
21,2,Act Two: Summer,21,Foreign Affairs,25004.0,"Katiya, Cody",Valenseia | Holmfirth | Firtholm Hot Springs | 2026-06-29,6,70,1.4,7.2,7.6,2.8,2.6,-0.3,5.3999999999999995,2.77,4.437748,-2.28,2.28,29.07743673844626,-1.0944384999999999,18.54358886878702,30.476571193850592,30.476571193850592,68.38590415806235,24.82983094814501,68.38590415806235,Katiya extracts an uncomfortable truth from Jullian; intercut meltdown date beats (both couples misfire); Cody & Kei hook up but it lands as empty.,Cold water and hard truths&mdash;two relationships strain to the breaking point.,"I grit my teeth and continue to descend into the cold tub. My body aches, but not yet from the freezing water. It's from the pain of how heavy-handed those backwater Ahkvasans are…"
22,2,Act Two: Summer,22,Losing To Fear,26137.0,"Katiya, Cody",Valenseia | Gaffesend | Gaffe Royal Base | 2026-07-07,3,70,1.8,8.0,8.4,4.4,0.6,-0.54,6.066666666666667,3.83,5.311412,-4.5360000000000005,4.5360000000000005,35.308156984053106,0.28163749999999954,9.987852291383131,27.916982742388115,27.916982742388115,57.16863749961835,36.959882780292276,57.16863749961835,"Katiya passes core exams but shoots poorly; Aryn is unflappable; Cody and Reed clash about what a Level-1 is; Katiya insists on leading the next team exam, feeling off her game.","Tests expose strengths, flaws, and a calm rival who never seems to miss.",Inspired. Soulful. And as unpredictable as possible.
23,2,Act Two: Summer,23,Failing To Launch,27591.0,"Cody, Katiya",Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-07-07,2,70,1.6,7.8,8.4,4.6,0.8,-0.5,5.933333333333334,4.029999999999999,5.315468000000001,-4.2,4.2,35.194350356804236,0.2644100000000016,0.20488523849990944,25.674714246035563,25.674714246035563,60.202223513289496,35.11980509660862,60.202223513289496,"Cody presents and gets hammered; Reed&apos;s allies redirect the room; Katiya&apos;s plan withers, Bertram is &quot;killed&quot; in exercise, she barges the opposing house&mdash;bad optics.",A tough room for Cody. A tougher match for Katiya. Plans buckle under pressure.,"My presentation begins after the seven of them settle into the semicircle of office chairs, searching for the words to begin as my body blocks the blinding glow of the projector's…"
24,2,Act Two: Summer,24,Friendly Fire,29725.0,"Cody, Katiya",Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-07-07,2,70,2.2,8.4,8.6,3.4,0.8,-0.62,6.400000000000001,3.01,5.159584000000001,-5.332,5.332,34.89076075736536,0.13107950000000113,7.417473573496721,24.39662268633307,24.39662268633307,59.95469161950228,37.908861028157446,59.95469161950228,"Reed&apos;s presentation wins; Cody&apos;s mild critique is spun as jealousy and he snaps publicly; Katiya loses to Aryn, is told she&apos;s below the line, and learns her family&apos;s already in Gaffesend.",One wins the crowd; the other loses control. Lines are drawn on both sides.,"Reed's entirely prepared as he advances towards his last slide. In the lower corner, it reads 20 OF 20: even with a custom progress bar to show the stages of his presentation."
25,2,Act Two: Summer,25,A House Divided,31443.0,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-07-07,2,70,1.4,8.8,9.0,3.8,0.6,-0.78,6.400000000000001,3.32,5.295487999999999,-7.0200000000000005,7.0200000000000005,35.98814722946971,0.24464449999999882,19.726639576121503,24.06314460126763,24.06314460126763,52.92741669931006,44.45953864702395,52.92741669931006,Cody spirals home; Katiya waits on his couch; their mutual failures ignite a bitter fight&mdash;door slammed shut again.,"Back at the house, two people who need comfort get conflict instead.",Sometimes this numbness can be a blessing in the same way that it's a curse.
26,3,Act Three: Fall,26,Cold War,32972.0,Cody,Unspecified | Unspecified | Unspecified | 2015-10-03,3,70,1.6,7.4,8.5,1.8,0.4,-0.7,5.833333333333333,1.59,4.19165,-5.949999999999999,5.949999999999999,24.991789605682087,-0.9537159999999991,34.5555159325147,23.197211784822986,23.197211784822986,65.31872444728364,33.37252927780302,65.31872444728364,"Jackson&apos;s &quot;Operation Bluewings&quot; flashback: drone crash, mission abort, and his sacrificial call to Overwatch in the storm.","Years earlier, in a storm of ice and static, a mission hangs by a thread.",It's the cold snap that brings him back again.
27,3,Act Three: Fall,27,Warm Solitude,33825.0,Katiya,Valenseia | Hillfar | The Shortwall | 2005-08-23,3,70,1.2,7.4,8.2,5.8,0.6,-0.16,5.599999999999999,5.02,5.5366719999999985,-1.3119999999999998,1.3119999999999998,36.3745544814607,0.7104904999999988,41.20222956584192,23.039868799334997,23.039868799334997,52.79398075778657,25.564993162588717,52.79398075778657,Katiya&apos;s origin trauma: childhood game ? treehouse collapse ? Raph&apos;s death; she hides in a corpse pit; the Chymaeran lie brands her forever.,"Long before today, a childhood dare turned into a scar that never closed.","""Why is it so hard for you to let go?"" The question comes from thirty feet below."
28,3,Act Three: Fall,28,Prometheus,34422.0,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-11-25,3,70,2.0,7.6,8.4,2.6,0.4,-0.56,6.0,2.27,4.58972,-4.704000000000001,4.704000000000001,28.214040584383,-0.3478925000000004,25.11617447006307,23.57337991266126,23.57337991266126,64.33193726039737,31.594121738120055,64.33193726039737,"Months later: Naveen notes Cody&apos;s improvement but deeper ennui; company lunch where Reed is promoted; Reed asks Cody to help fix his flawed prototype (they bond); that night Cody, riding the high, uses Essence as flux&mdash;batteries &quot;fire&quot; and spark his next idea.","Small progress, big disappointment&mdash;until a late-night spark hints at a dangerous idea.","""I want you to know that you've improved a lot since the incident last quarter,"" Nav says. He scrolls through notes on the tablet's touchscreen as he sits across from me in the din…"
29,3,Act Three: Fall,29,Once Lovers,35299.0,"Katiya, Cody",Valenseia | Gaffesend | Hilde Cottage | 2026-11-26,4,70,5.2,8.4,9.0,1.8,0.4,-0.74,7.533333333333334,1.59,5.227868,-6.66,6.66,35.33756415929466,0.20259699999999992,21.826670652492762,26.172781417707363,26.172781417707363,55.490300099311064,43.41749858700889,55.490300099311064,,"Family news brightens the table, but Katiya&apos;s hands won&apos;t stop shaking. A walk with Erik ends at a tavern door&mdash;and a choice she should&apos;ve made months ago.","""Stop. Please,"" I beg them, rolling my eyes as I sit across the table. The tremor in my hand's been going for about a month now, so I rest my wrist on table between bites of stew,…"
30,3,Act Three: Fall,30,Cold Sweat,35870.25,"Katiya, Cody",Valenseia | Gaffesend | Lake Garrison | 2026-11-27,4,70,2.0,8.2,8.8,2.6,0.4,-0.68,6.333333333333333,2.27,4.79426,-5.984000000000001,5.984000000000001,34.216881983079965,-0.446701,28.11561615685812,29.33466169394667,29.33466169394667,56.946481858942974,39.924717633486296,56.946481858942974,,New alliances form while an ominous email threatens Cody&apos;s career.,"They say to never challenge an Ahkvasan to a foot race: you might be faster, but you still won't get there in time."
31,3,Act Three: Fall,31,Heating Up,37426.25,"Katiya, Cody",Valenseia | Gaffesend | Katiya&apos;s House | 2026-11-28,3,70,1.6,7.8,8.4,4.2,1.0,-0.16,5.933333333333334,3.7199999999999998,5.180432,-1.344,1.344,39.44732289076593,-0.3556000000000008,29.80030419973246,35.015904603026726,35.015904603026726,55.86560198186697,28.404140364022755,55.86560198186697,,"A collapse, a break-in, and a rescue drag Katiya and Cody violently back together.",It was a walk so it doesn't count. And it doesn't matter if I've worked a long day questing.
32,3,Act Three: Fall,32,Fantastic Modernity,38576.25,"Katiya, Cody",Colorado | Evergreen Estates | Cody&apos;s House | 2026-11-29,3,70,1.8,7.6,8.2,6.4,1.2,-0.1,5.866666666666667,5.62,5.965824,-0.82,0.82,50.99174050954775,0.7428069999999991,31.663323764694347,41.161528196719104,41.161528196719104,42.794385609013744,34.32149070169619,42.794385609013744,,"Katiya&apos;s first peaceful sleep leads straight into chaotic, sword-filled &quot;fantasy&quot; tourism on Earth.","Even in another world, I can't escape the same dream. The only difference is that sleep comes faster on a bed that's made of clouds, instead of one made from horsehair and feathers…"
33,3,Act Three: Fall,33,Modern Fantasy,39417.25,"Cody, Katiya",Colorado | Shaleborough | Rocky Mountain National Forest | 2026-11-29,3,70,1.6,7.8,8.4,6.8,1.2,-0.18,5.933333333333334,5.959999999999999,6.156176000000001,-1.512,1.512,56.62262327693941,0.41799800000000165,62.190963468359705,47.13787648194376,47.13787648194376,29.917135405393346,40.54463862182956,29.917135405393346,,Tournament glory and a stolen moment of closeness are shattered with sudden news from the north.,"The first half of the morning goes on without much of a hitch. That was, until some toddler grabbed Rayna's tail before screaming KITTY! and launched her almost twice as high as a…"
34,3,Act Three: Fall,34,Professional Death,39988.5,Cody,Colorado | Evergreen Estates | Navidson-Monroe Aerospace | 2026-11-30,3,70,1.6,9.0,9.4,2.0,0.2,-0.94,6.666666666666667,1.73,4.7612,-8.836,8.836,48.57535362358129,-1.4849100000000002,100.0,52.11041653027391,52.11041653027391,27.558592755616306,59.580322520835225,27.558592755616306,,"At work, a meeting becomes a reckoning. Someone steps forward, and the cost is real.","When I rose from four hours of sleep, I found that same feeling of dread I found in college when the world finally caught up with me, when I remembered it was a heavy day of finals…"
35,3,Act Three: Fall,35,Physical Demise,41760.5,Katiya,Valenseia | Gaffesend | Guards&apos; Quarter | 2026-11-30,3,70,8.4,9.6,9.8,3.8,0.2,-0.86,9.266666666666667,3.26,7.045255999999999,-8.428,8.428,72.90494168436948,1.349085999999999,67.12858957930312,56.68047108274706,56.68047108274706,8.165371703173049,74.64397435685129,8.165371703173049,,"Desperation pulls Katiya beyond the walls, where duty, grief, and old ghosts converge.","It's a new feeling that finds me when I'm rushing through the open streets, one I felt the day before when I heard Cody's voice cheering my name. It's an energy that races my circu…"
36,3,Act Three: Fall,36,Holding On,43153.5,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-11-30,3,70,1.2,8.8,9.2,5.2,0.6,-0.22,6.3999999999999995,4.51,5.817184,-2.024,2.024,62.95957641491172,-0.26975399999999894,20.190109533789176,58.428970825721436,58.428970825721436,38.105864886821685,45.618542996058494,38.105864886821685,,Kindness and rediscovery of an old passion dare Cody to care again.,"The drawing reads REED because he forgets to use his last name. It was checked by SAKURASHIMA, then approved by PRADESH, and now the chain of custody ends in my greasy hands, putti…"
37,3,Act Three: Fall,37,Letting Go,44271.5,"Katiya, Cody",Valenseia | Hillfar | Unspecified | 2026-12-01,4,70,2.2,8.4,9.0,5.6,0.6,0.04,6.533333333333334,4.85,6.05012,0.36,0.36,65.00068389631386,-0.1789360000000002,19.78302005257677,59.012316455518565,59.012316455518565,37.796091618137766,41.49271047114977,37.796091618137766,,"Shame, buried memories, and unexpected visitors push both worlds toward a new kind of war.","""She was trying to save him,"" Jullian says. ""Bertram left and we did nothing — but it was Katiya that was braver than all of us!"""
38,4,Act Four: Winter,38,Bottoming Out,45396.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-12-08,2,70,1.2,9.6,9.6,6.4,0.2,0.08,6.8,5.470000000000001,6.491175999999999,0.768,0.768,68.37835924578228,0.6139799999999989,13.126909977051138,59.05045252426698,59.05045252426698,33.42295578907949,45.542258664640016,33.42295578907949,"After reaching the ugliest versions of themselves, Cody and Katiya finally stop performing strength and let each other see the damage. Cody interrupts his own collapse long enough to comfort Katiya after Bertram&apos;s death, and Katiya&apos;s tribunal summons turns grief into a hard deadline. By the end of the chapter, despair has not lifted&mdash;but it has been given direction.","At rock bottom, the doorway stops being an escape and becomes a lifeline.","In the long, dragging years after college, I thought that all I could ever want was to waste my life as efficiently as possible."
39,4,Act Four: Winter,39,Crossing Over,46341.5,"Cody, Katiya",Valenseia | Gaffesend | Katiya&apos;s House,3,70,1.8,8.0,8.6,5.0,0.4,0.12,6.133333333333333,4.31,5.562608,1.032,1.032,57.43464929693398,-0.5864219999999998,7.549142572602549,58.60572534113948,58.60572534113948,46.028536975924965,39.952431309594324,46.028536975924965,"The private crisis inside Katiya&apos;s house becomes part of a much larger war when Titus and Sylvia force their way into the story. Cody is thrown into a terrifying first encounter with people from a harsher world, Katiya begins to understand the scale of what is coming, and Cody&apos;s attempt to regroup turns into a brutal training date that recommits him to fighting for a future instead of grieving one he already lost.",New arrivals from a dying world turn private grief into a larger war.,"My own snore awakes me though Katiya is still fast asleep. I check my smartwatch: no texts show in the feed yet, but the digitally-analog hands read 3:40."
